"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"eis-direccion","Address.postalCode","Address.postalCode","","Zip
","",0,1,"","","Y","string {[]} {[]}
","Postal code for area","A postal code designating a region defined by the postal service.","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""9132""/>","","",,,,,"",,,,"Address.postalCode",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eis-direccion","Address.country","Address.country","","","",0,1,"Y","","Y","string {[]} {[]}
","Campo para el País","Campo para el País","ISO 3166 3 letter codes can be used in place of a human readable country name.","","","","","","","","",,,,,"",,,,"Address.country",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eis-direccion","Address.country.id","Address.country.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references)","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"eis-direccion","Address.country.extension","Address.country.extension","","","",1,*,"","","","Extension {[]} {[]}
","Código de País","Código de País","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"eis-direccion","Address.country.extension:paises","Address.country.extension","paises","","",1,1,"Y","","","Extension {[CanonicalType[https://interoperabilidad.minsal.cl/fhir/ig/eis/StructureDefinition/eis-paises]]} {[]}
","Códigos para Países","Esta extensión que permite codificar los Países en el campo de Dirección","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"eis-direccion","Address.country.value","Address.country.value","","","",0,1,"","","","string {[]} {[]}
","Primitive value for string","The actual value","","","","","","","","","",1048576,,,,"",,,,"string.value",0,1,"",""
"eis-direccion","Address.period","Address.period","","","",0,1,"","","Y","Period {[]} {[]}
","Time period when address was/is in use","Time period when address was/is in use.","","Allows addresses to be placed in historical context.","","","","","<valuePeriod xmlns=""http://hl7.org/fhir"">
  <start value=""2010-03-23""/>
  <end value=""2010-07-01""/>
</valuePeriod>","","",,,,,"",,,,"Address.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eis-nombre-oficial","HumanName","HumanName","","","",0,*,"","","","null {[]} {[]}
","Tipo de dato para determinar el nombre de un paciente según norma técnica","A human's name with the ability to identify parts and usage.","Tipo de dato para el nombre del Paciente","","","","","","","","",,,,,"",,,,"HumanName",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eis-nombre-oficial","HumanName.id","HumanName.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"eis-nombre-oficial","HumanName.extension","HumanName.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"eis-nombre-oficial","HumanName.use","HumanName.use","","","",1,1,"Y","Y","Y","code {[]} {[]}
","uso del nombre del paciente","este slice corresponde al nombre registrado al momento de nacer, por lo que se fuerza el valor ""official""","Para ser considerado como el slice determinado para el uso de nombre completo, el use DEBE ser de valor de código ""official""","Allows the appropriate name for a particular context of use to be selected from among a set of names.","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""official""/>","","","",,"required","The use of a human name.","http://hl7.org/fhir/ValueSet/name-use|4.0.1","",,,,"HumanName.use",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eis-nombre-oficial","HumanName.text","HumanName.text","","","",0,1,"","","Y","string {[]} {[]}
","Text representation of the full name","Specifies the entire name as it should be displayed e.g. on an application UI. This may be provided instead of or as well as the specific parts.","Can provide both a text representation and parts. Applications updating a name SHALL ensure that when both text and parts are present,  no content is included in the text that isn't found in a part.","A renderable, unencoded form.","","","","","","","",,,,,"",,,,"HumanName.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eis-nombre-oficial","HumanName.family","HumanName.family","","surname
","",1,1,"Y","","Y","string {[]} {[]}
","1er Apellido","Se define el primer apellido registrado al momento de nacer o aquel que se ha inscrito legalmente en el Registro Civil","Family Name may be decomposed into specific parts using extensions (de, nl, es related cultures).","","","","","","","","",,,,,"",,,,"HumanName.family",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eis-nombre-oficial","HumanName.family.id","HumanName.family.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references)","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"eis-nombre-oficial","HumanName.family.extension","HumanName.family.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extensión para el segundo apellido","Extensión para la declaración de un segundo apellido","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"eis-nombre-oficial","HumanName.family.extension:segundoApellido","HumanName.family.extension","segundoApellido","","",0,1,"Y","","","Extension {[CanonicalType[https://interoperabilidad.minsal.cl/fhir/ig/eis/StructureDefinition/SegundoApellido]]} {[]}
","Segundo Apellido","Segundo Apellido","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"eis-nombre-oficial","HumanName.family.value","HumanName.family.value","","","",0,1,"","","","string {[]} {[]}
","Primitive value for string","The actual value","","","","","","","","","",1048576,,,,"",,,,"string.value",0,1,"",""
"eis-nombre-oficial","HumanName.given","HumanName.given","","first name
middle name","",1,*,"Y","","Y","string {[]} {[]}
","Primer nombre y nombres del Paciente","Todos los nombres de los pacientes no necesariamente solo el Primer Nombre","If only initials are recorded, they may be used in place of the full name parts. Initials may be separated into multiple given names but often aren't due to paractical limitations.  This element is not called ""first name"" since given names do not always come first.","","","","","","","","",,,,,"",,,,"HumanName.given",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eis-nombre-oficial","HumanName.prefix","HumanName.prefix","","","",0,*,"","","Y","string {[]} {[]}
","Parts that come before the name","Part of the name that is acquired as a title due to academic, legal, employment or nobility status, etc. and that appears at the start of the name.","","","","","","","","","",,,,,"",,,,"HumanName.prefix",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eis-nombre-oficial","HumanName.suffix","HumanName.suffix","","","",0,*,"","","Y","string {[]} {[]}
","Parts that come after the name","Part of the name that is acquired as a title due to academic, legal, employment or nobility status, etc. and that appears at the end of the name.","","","","","","","","","",,,,,"",,,,"HumanName.suffix",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eis-nombre-oficial","HumanName.period","HumanName.period","","","",0,1,"","","Y","Period {[]} {[]}
","Time period when name was/is in use","Indicates the period of time when this name was valid for the named person.","","Allows names to be placed in historical context.","","","","","","","",,,,,"",,,,"HumanName.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eis-nombre-social","HumanName","HumanName","","","",0,*,"","","","null {[]} {[]}
","Tipo de dato para determinar el nombre según norma técnica","A human's name with the ability to identify parts and usage.","Tipo de dato para el nombre social","","","","","","","","",,,,,"",,,,"HumanName",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eis-nombre-social","HumanName.id","HumanName.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"eis-nombre-social","HumanName.extension","HumanName.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"eis-nombre-social","HumanName.use","HumanName.use","","","",1,1,"Y","Y","Y","code {[]} {[]}
","uso que se le da al nombre","Este uso especifico se enfoca a la definición de un nombre social. Es por esta razón que el uso se fuerza a usual","Para ser considerado como el slice determinado para el uso de nombre social, el use DEBE ser de valor de código ""usual""","Allows the appropriate name for a particular context of use to be selected from among a set of names.","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""usual""/>","","","",,"required","The use of a human name.","http://hl7.org/fhir/ValueSet/name-use|4.0.1","",,,,"HumanName.use",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eis-nombre-social","HumanName.text","HumanName.text","","","",0,0,"","","Y","string {[]} {[]}
","Text representation of the full name","Specifies the entire name as it should be displayed e.g. on an application UI. This may be provided instead of or as well as the specific parts.","Can provide both a text representation and parts. Applications updating a name SHALL ensure that when both text and parts are present,  no content is included in the text that isn't found in a part.","A renderable, unencoded form.","","","","","","","",,,,,"",,,,"HumanName.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eis-nombre-social","HumanName.family","HumanName.family","","surname
","",0,0,"","","Y","string {[]} {[]}
","Family name (often called 'Surname')","The part of a name that links to the genealogy. In some cultures (e.g. Eritrea) the family name of a son is the first name of his father.","Family Name may be decomposed into specific parts using extensions (de, nl, es related cultures).","","","","","","","","",,,,,"",,,,"HumanName.family",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eis-nombre-social","HumanName.given","HumanName.given","","first name
middle name","",1,*,"Y","","Y","string {[]} {[]}
","Nombre Social","Nombre Social del Paciente","If only initials are recorded, they may be used in place of the full name parts. Initials may be separated into multiple given names but often aren't due to paractical limitations.  This element is not called ""first name"" since given names do not always come first.","","","","","","","","",,,,,"",,,,"HumanName.given",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eis-nombre-social","HumanName.prefix","HumanName.prefix","","","",0,0,"","","Y","string {[]} {[]}
","Parts that come before the name","Part of the name that is acquired as a title due to academic, legal, employment or nobility status, etc. and that appears at the start of the name.","","","","","","","","","",,,,,"",,,,"HumanName.prefix",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eis-nombre-social","HumanName.suffix","HumanName.suffix","","","",0,0,"","","Y","string {[]} {[]}
","Parts that come after the name","Part of the name that is acquired as a title due to academic, legal, employment or nobility status, etc. and that appears at the end of the name.","","","","","","","","","",,,,,"",,,,"HumanName.suffix",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eis-nombre-social","HumanName.period","HumanName.period","","","",0,0,"","","Y","Period {[]} {[]}
","Time period when name was/is in use","Indicates the period of time when this name was valid for the named person.","","Allows names to be placed in historical context.","","","","","","","",,,,,"",,,,"HumanName.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eis-paises","Extension","Extension","","","",0,*,"","","","null {[]} {[]}
","Códigos para Países","Esta extensión que permite codificar los Países en el campo de Dirección","","","","","","","","","",,,,,"",,,,"Extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"eis-paises","Extension.id","Extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"eis-paises","Extension.extension","Extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"eis-paises","Extension.url","Extension.url","","","",1,1,"Y","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""https://interoperabilidad.minsal.cl/fhir/ig/eis/StructureDefinition/eis-paises""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"eis-paises","Extension.value[x]","Extension.value[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Código de Países","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).","","","","","","","","","",,"required","","https://interoperabilidad.minsal.cl/fhir/ig/eis/ValueSet/eis-paises-vs","",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eis-provincias","Extension","Extension","","","",0,*,"","","","null {[]} {[]}
","Códigos para Provincias en Chile","Esta extensión que permite codificar las Provincias en Chile en el campo de Dirección","","","","","","","","","",,,,,"",,,,"Extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"eis-provincias","Extension.id","Extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"eis-provincias","Extension.extension","Extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"eis-provincias","Extension.url","Extension.url","","","",1,1,"Y","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""https://interoperabilidad.minsal.cl/fhir/ig/eis/StructureDefinition/eis-provincias""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"eis-provincias","Extension.value[x]","Extension.value[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Código de Provincias","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).","","","","","","","","","",,"required","","https://interoperabilidad.minsal.cl/fhir/ig/eis/ValueSet/eis-provincias-vs","",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eis-regiones","Extension","Extension","","","",0,*,"","","","null {[]} {[]}
","Códigos para Regiones en Chile","Esta extensión que permite codificar las Regiones en Chile en el campo de Dirección","","","","","","","","","",,,,,"",,,,"Extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"eis-regiones","Extension.id","Extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"eis-regiones","Extension.extension","Extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"eis-regiones","Extension.url","Extension.url","","","",1,1,"Y","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""https://interoperabilidad.minsal.cl/fhir/ig/eis/StructureDefinition/eis-regiones""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"eis-regiones","Extension.value[x]","Extension.value[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Código de Regiones","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).","","","","","","","","","",,"required","","https://interoperabilidad.minsal.cl/fhir/ig/eis/ValueSet/eis-regiones-vs","",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eis-tipo-de-via","Extension","Extension","","","",0,*,"","","","null {[]} {[]}
","Códigos para Tipo de Via","Esta extensión que permite codificar el tipo de vía en el campo de Dirección","","","","","","","","","",,,,,"",,,,"Extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"eis-tipo-de-via","Extension.id","Extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"eis-tipo-de-via","Extension.extension","Extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"eis-tipo-de-via","Extension.url","Extension.url","","","",1,1,"Y","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""https://interoperabilidad.minsal.cl/fhir/ig/eis/StructureDefinition/eis-tipo-de-via""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"eis-tipo-de-via","Extension.value[x]","Extension.value[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Código de Tipo de Via","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).","","","","","","","","","",,"required","","https://interoperabilidad.minsal.cl/fhir/ig/eis/ValueSet/eis-tipo-via-vs","",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
